name,price_in_NGN,country,mileage_in_km
Lexus ES 2007 Gold,"4,160,000",Nigerian Used,251263 
Lexus GS 300 Automatic 2007 Black,"5,408,000",Foreign Used,150659 
Lexus ES 2007 Gold,"4,200,000",Foreign Used,124511 
Lexus IS 2009 Black,"4,500,000",Foreign Used,173307 
Lexus RX 350 4x4 2009 Gold,"5,408,000",Nigerian Used,25416 
Lexus RX 2004 Gray,"4,935,000",Foreign Used,168011 
Lexus GX 2007 Gray,"7,488,000",Foreign Used,214028 
Lexus RX 350 2008 Silver,"6,240,000",Foreign Used,198621 
Lexus IS 2007 350 Silver,"4,368,000",Foreign Used,141782 
Lexus RX 2005 330 Blue,"5,200,000",Foreign Used,95873 
Lexus ES 2007 White,"5,200,000",Foreign Used,366744 
Lexus LX 2002 Gold,"3,150,000",Nigerian Used,213165 
Lexus LS 2008 Gray,"4,725,000",Nigerian Used,224605 
Lexus GX 2007 Gray,"6,240,000",Nigerian Used,76775 
Lexus ES 2010 black,"6,506,000",174545 km,n/a
Lexus RX 350 2009 Silver,"5,985,000",Foreign Used,278230 
Lexus ES 350 FWD 2013 Silver,"10,400,000",Nigerian Used,131925 
Lexus ES 2007 350 Black,"4,732,000",Foreign Used,259837 
Lexus GX 2014 Black,"18,900,000",Nigerian Used,82573 
Lexus IS 2009 250 Blue,"3,640,000",Nigerian Used,85662 
Lexus ES 300 2002 Purple,"3,224,000",Foreign Used,211561 
Lexus RX 2005 330 Blue,"5,200,000",Foreign Used,95873 
Lexus ES 2009 350 Black,"5,200,000",Foreign Used,122653 
Lexus ES 2007 350 Gold,"4,680,000",Foreign Used,175836 
Lexus ES 2007 black,"5,050,000",149693 km,n/a
Lexus GS 300 Automatic 2007 Black,"5,408,000",Foreign Used,150659 
Lexus GS 2006 black,"3,594,000",173985 km,n/a
Lexus ES 2008 Gold,"4,992,000",Foreign Used,184977 
Lexus IS 2009 250 Gray,"4,200,000",Foreign Used,156800 
Lexus RX 2007 400h AWD Silver,"4,680,000",Nigerian Used,170778 
Lexus GS 2007 Gray,"3,328,000",Nigerian Used,266358 
Lexus RX 400h 2006 Blue,"3,150,000",Nigerian Used,88003 
Lexus ES 300 2002 Purple,"3,224,000",Foreign Used,211561 
Lexus ES 2007 black,"5,050,000",149693 km,n/a
Lexus ES 2007 Blue,"3,150,000",Nigerian Used,135194 
Lexus RX 2007 400h AWD Silver,"4,680,000",Nigerian Used,170778 
Lexus ES 2009 350 Black,"5,200,000",Foreign Used,122653 
Lexus ES 2007 350 Red,"4,680,000",Foreign Used,91808 
Lexus ES 2007 350 Gray,"4,680,000",Foreign Used,148888 
Lexus ES 350 2008 Gray,"4,200,000",Foreign Used,148332 
Lexus ES 2010 Silver,"4,888,000",Nigerian Used,142751 
Lexus ES 2002 Silver,"2,496,000",Nigerian Used,125060 
Lexus ES 2007 350 Black,"4,680,000",Foreign Used,131510 
Lexus ES 2011 black,"5,500,000",70445 km,n/a
Lexus IS 2009 250 Gray,"4,200,000",Foreign Used,156800 
Lexus IS 250 2008 Black,"4,680,000",Foreign Used,161060 
Lexus ES 2011 black,"5,500,000",70445 km,n/a
Lexus ES 2002 Silver,"2,496,000",Nigerian Used,125060 
Lexus ES 350 2007 Gray,"4,200,000",Foreign Used,182057 
Lexus LX 2002 Gold,"3,150,000",Nigerian Used,213165 
Lexus IS 2006 Silver,"2,835,000",Nigerian Used,466356 
Lexus RX 400h 2006 Blue,"3,150,000",Nigerian Used,88003 
Lexus RX 350 2015 Blue,"10,500,000",Foreign Used,40837 
Lexus ES 350 2008 Gray,"3,360,000",Nigerian Used,90534 
Lexus ES 2004 Silver,"2,600,000",Nigerian Used,220223 
Lexus GS 2007 Blue,"2,625,000",Nigerian Used,168422 
Lexus IS 2010,"2,922,000",184611 km,n/a
